_id,champion_id,augment_id,win_rate,pick_rate,sample_size,tier,patch_version,updated_at
3_2131_26.12,3,2131,51.68,1.35,774,B,26.12,2026-06-29T10:17:34.699Z
3_2132_26.12,3,2132,51.22,5.56,3192,A,26.12,2026-06-29T10:17:34.699Z
3_2139_26.12,3,2139,52.35,1.44,829,A,26.12,2026-06-29T10:17:34.699Z
4_1002_26.12,4,1002,53.39,0.42,221,A,26.12,2026-06-29T10:17:34.699Z
4_1004_26.12,4,1004,54.97,6.31,3307,S,26.12,2026-06-29T10:17:34.699Z
4_1011_26.12,4,1011,52.53,0.38,198,A,26.12,2026-06-29T10:17:34.699Z
4_1020_26.12,4,1020,59.26,0.1,54,S,26.12,2026-06-29T10:17:34.699Z
4_1026_26.12,4,1026,63.16,0.18,95,S,26.12,2026-06-29T10:17:34.699Z
4_1030_26.12,4,1030,53.77,9.66,5062,S,26.12,2026-06-29T10:17:34.699Z
4_1034_26.12,4,1034,57.89,0.4,209,S,26.12,2026-06-29T10:17:34.699Z
4_1041_26.12,4,1041,50.59,0.16,85,B,26.12,2026-06-29T10:17:34.699Z
4_1045_26.12,4,1045,55.17,0.33,174,A,26.12,2026-06-29T10:17:34.699Z
4_1048_26.12,4,1048,52.86,21.44,11239,S,26.12,2026-06-29T10:17:34.699Z
4_1053_26.12,4,1053,55.3,0.25,132,A,26.12,2026-06-29T10:17:34.699Z
4_1056_26.12,4,1056,52.67,1.72,900,A,26.12,2026-06-29T10:17:34.699Z
4_1060_26.12,4,1060,59.21,0.43,228,S,26.12,2026-06-29T10:17:34.699Z
4_1062_26.12,4,1062,56.95,0.29,151,S,26.12,2026-06-29T10:17:34.699Z
4_1068_26.12,4,1068,53.97,1.32,693,A,26.12,2026-06-29T10:17:34.699Z
4_1080_26.12,4,1080,51.84,2.08,1088,A,26.12,2026-06-29T10:17:34.699Z
4_1088_26.12,4,1088,57.69,0.2,104,S,26.12,2026-06-29T10:17:34.699Z
4_1097_26.12,4,1097,52.6,8.41,4407,A,26.12,2026-06-29T10:17:34.699Z
4_1098_26.12,4,1098,51.74,5.64,2957,A,26.12,2026-06-29T10:17:34.699Z
4_1103_26.12,4,1103,52.41,1.51,790,A,26.12,2026-06-29T10:17:34.699Z
4_1105_26.12,4,1105,56.6,0.75,394,S,26.12,2026-06-29T10:17:34.699Z
4_1112_26.12,4,1112,52.66,0.32,169,A,26.12,2026-06-29T10:17:34.699Z
4_1113_26.12,4,1113,51.69,17.29,9063,A,26.12,2026-06-29T10:17:34.699Z
4_1129_26.12,4,1129,52.27,1.89,993,A,26.12,2026-06-29T10:17:34.699Z
4_1133_26.12,4,1133,53.08,19.73,10344,S,26.12,2026-06-29T10:17:34.699Z
4_1154_26.12,4,1154,51.33,0.22,113,B,26.12,2026-06-29T10:17:34.699Z
4_1156_26.12,4,1156,55.86,5.65,2963,S,26.12,2026-06-29T10:17:34.699Z
4_1180_26.12,4,1180,54.42,4.92,2578,S,26.12,2026-06-29T10:17:34.699Z
4_1195_26.12,4,1195,53.61,9.91,5197,S,26.12,2026-06-29T10:17:34.699Z
4_1205_26.12,4,1205,52.85,0.7,369,A,26.12,2026-06-29T10:17:34.699Z
4_1237_26.12,4,1237,52.21,0.99,521,A,26.12,2026-06-29T10:17:34.699Z
4_1305_26.12,4,1305,56.5,0.63,331,S,26.12,2026-06-29T10:17:34.699Z
4_1308_26.12,4,1308,58.88,0.41,214,S,26.12,2026-06-29T10:17:34.699Z
4_1318_26.12,4,1318,54.16,3.21,1684,A,26.12,2026-06-29T10:17:34.699Z
4_1326_26.12,4,1326,53.27,0.2,107,A,26.12,2026-06-29T10:17:34.699Z
4_1333_26.12,4,1333,53.26,0.35,184,A,26.12,2026-06-29T10:17:34.699Z
4_1335_26.12,4,1335,51.94,0.25,129,B,26.12,2026-06-29T10:17:34.699Z
4_1337_26.12,4,1337,58.22,0.41,213,S,26.12,2026-06-29T10:17:34.699Z
4_1347_26.12,4,1347,52.31,0.25,130,A,26.12,2026-06-29T10:17:34.699Z
4_1349_26.12,4,1349,50.31,0.3,159,B,26.12,2026-06-29T10:17:34.699Z
4_1373_26.12,4,1373,52.73,1.47,770,A,26.12,2026-06-29T10:17:34.699Z
4_1384_26.12,4,1384,54.55,0.97,506,A,26.12,2026-06-29T10:17:34.699Z
4_1388_26.12,4,1388,56.2,4.63,2427,S,26.12,2026-06-29T10:17:34.699Z
4_1389_26.12,4,1389,57.14,0.15,77,S,26.12,2026-06-29T10:17:34.699Z
4_1390_26.12,4,1390,54.76,16.29,8538,S,26.12,2026-06-29T10:17:34.699Z
4_1415_26.12,4,1415,53.71,15.77,8265,S,26.12,2026-06-29T10:17:34.699Z
4_1420_26.12,4,1420,59.84,0.47,244,S,26.12,2026-06-29T10:17:34.699Z
4_1996_26.12,4,1996,52.23,6.4,3356,A,26.12,2026-06-29T10:17:34.699Z
4_2009_26.12,4,2009,50.75,16.48,8637,A,26.12,2026-06-29T10:17:34.699Z
4_2018_26.12,4,2018,55.94,3.79,1988,S,26.12,2026-06-29T10:17:34.699Z
4_2026_26.12,4,2026,57.73,0.19,97,S,26.12,2026-06-29T10:17:34.699Z
4_2032_26.12,4,2032,56.87,0.4,211,S,26.12,2026-06-29T10:17:34.699Z
4_2043_26.12,4,2043,55.56,0.15,81,S,26.12,2026-06-29T10:17:34.699Z
4_2062_26.12,4,2062,71.44,7.38,3869,S,26.12,2026-06-29T10:17:34.699Z
4_2095_26.12,4,2095,51.03,0.65,339,B,26.12,2026-06-29T10:17:34.699Z
4_2098_26.12,4,2098,63.08,0.12,65,S,26.12,2026-06-29T10:17:34.699Z
4_2103_26.12,4,2103,51.62,11.45,6001,A,26.12,2026-06-29T10:17:34.699Z
4_2127_26.12,4,2127,58.13,0.77,406,S,26.12,2026-06-29T10:17:34.699Z
4_2132_26.12,4,2132,52.5,11.36,5956,A,26.12,2026-06-29T10:17:34.699Z
4_2139_26.12,4,2139,62.69,0.13,67,S,26.12,2026-06-29T10:17:34.699Z
5_1004_26.12,5,1004,52.82,1.65,549,A,26.12,2026-06-29T10:17:34.699Z
5_1007_26.12,5,1007,50.82,7.66,2548,A,26.12,2026-06-29T10:17:34.699Z
5_1013_26.12,5,1013,53.8,9.48,3154,S,26.12,2026-06-29T10:17:34.699Z
5_1020_26.12,5,1020,51.49,11.83,3933,S,26.12,2026-06-29T10:17:34.699Z
5_1027_26.12,5,1027,51.23,0.86,285,B,26.12,2026-06-29T10:17:34.699Z
5_1028_26.12,5,1028,54.45,0.57,191,A,26.12,2026-06-29T10:17:34.699Z
5_1029_26.12,5,1029,55.58,1.4,466,A,26.12,2026-06-29T10:17:34.699Z
5_1038_26.12,5,1038,75.86,0.17,58,S,26.12,2026-06-29T10:17:34.699Z
5_1041_26.12,5,1041,54.62,8.81,2931,S,26.12,2026-06-29T10:17:34.699Z
5_1051_26.12,5,1051,53.54,0.76,254,A,26.12,2026-06-29T10:17:34.699Z
5_1053_26.12,5,1053,53.73,0.2,67,A,26.12,2026-06-29T10:17:34.699Z
5_1054_26.12,5,1054,58.62,7.24,2407,S,26.12,2026-06-29T10:17:34.699Z
5_1056_26.12,5,1056,54.24,0.18,59,A,26.12,2026-06-29T10:17:34.699Z
5_1058_26.12,5,1058,51.66,13.12,4365,S,26.12,2026-06-29T10:17:34.699Z
5_1062_26.12,5,1062,50.82,0.18,61,B,26.12,2026-06-29T10:17:34.699Z
5_1063_26.12,5,1063,50.8,6.01,2000,A,26.12,2026-06-29T10:17:34.699Z
5_1079_26.12,5,1079,51.17,6.93,2304,A,26.12,2026-06-29T10:17:34.699Z
5_1080_26.12,5,1080,55.31,0.54,179,A,26.12,2026-06-29T10:17:34.699Z
5_1081_26.12,5,1081,51.41,4.91,1634,A,26.12,2026-06-29T10:17:34.699Z
5_1087_26.12,5,1087,53.63,7.11,2366,S,26.12,2026-06-29T10:17:34.699Z
5_1097_26.12,5,1097,52.82,0.59,195,A,26.12,2026-06-29T10:17:34.699Z
5_1105_26.12,5,1105,52.75,0.27,91,A,26.12,2026-06-29T10:17:34.699Z
5_1116_26.12,5,1116,59.63,0.33,109,S,26.12,2026-06-29T10:17:34.699Z
5_1138_26.12,5,1138,49.64,22.72,7557,S,26.12,2026-06-29T10:17:34.699Z
5_1152_26.12,5,1152,54.21,11.5,3826,S,26.12,2026-06-29T10:17:34.699Z
5_1154_26.12,5,1154,54.32,0.24,81,A,26.12,2026-06-29T10:17:34.699Z
5_1181_26.12,5,1181,54.35,15.39,5119,S,26.12,2026-06-29T10:17:34.699Z
5_1204_26.12,5,1204,53.73,0.2,67,A,26.12,2026-06-29T10:17:34.699Z
5_1225_26.12,5,1225,56.28,4.69,1560,S,26.12,2026-06-29T10:17:34.699Z
5_1238_26.12,5,1238,53,2.71,900,A,26.12,2026-06-29T10:17:34.699Z
5_1301_26.12,5,1301,53.67,0.66,218,A,26.12,2026-06-29T10:17:34.699Z
5_1305_26.12,5,1305,57.7,1.15,383,S,26.12,2026-06-29T10:17:34.699Z
5_1308_26.12,5,1308,55.56,0.38,126,A,26.12,2026-06-29T10:17:34.699Z
5_1315_26.12,5,1315,56.5,1,331,S,26.12,2026-06-29T10:17:34.699Z
5_1319_26.12,5,1319,56.78,2.73,907,S,26.12,2026-06-29T10:17:34.699Z
5_1322_26.12,5,1322,49.38,9.23,3070,A,26.12,2026-06-29T10:17:34.699Z
5_1333_26.12,5,1333,51.02,1.03,343,B,26.12,2026-06-29T10:17:34.699Z
5_1344_26.12,5,1344,50.15,5.95,1980,A,26.12,2026-06-29T10:17:34.699Z
5_1353_26.12,5,1353,52.68,17.82,5926,S,26.12,2026-06-29T10:17:34.699Z
5_1361_26.12,5,1361,60.29,2.7,899,S,26.12,2026-06-29T10:17:34.699Z
5_1384_26.12,5,1384,54.75,0.92,305,A,26.12,2026-06-29T10:17:34.699Z
5_1390_26.12,5,1390,59.24,0.47,157,S,26.12,2026-06-29T10:17:34.699Z
5_1401_26.12,5,1401,52.65,0.91,302,A,26.12,2026-06-29T10:17:34.699Z
5_1403_26.12,5,1403,52.63,0.97,323,A,26.12,2026-06-29T10:17:34.699Z
5_1404_26.12,5,1404,53.45,0.52,174,A,26.12,2026-06-29T10:17:34.699Z
5_1415_26.12,5,1415,56.69,0.47,157,S,26.12,2026-06-29T10:17:34.699Z
5_1996_26.12,5,1996,50.03,20.14,6700,S,26.12,2026-06-29T10:17:34.699Z
5_2005_26.12,5,2005,50.86,4.2,1396,A,26.12,2026-06-29T10:17:34.699Z
5_2006_26.12,5,2006,49.75,13.25,4406,A,26.12,2026-06-29T10:17:34.699Z
5_2009_26.12,5,2009,54.43,2.38,790,A,26.12,2026-06-29T10:17:34.699Z
5_2026_26.12,5,2026,54.67,0.45,150,A,26.12,2026-06-29T10:17:34.699Z
5_2065_26.12,5,2065,50.2,6.92,2303,A,26.12,2026-06-29T10:17:34.699Z
5_2082_26.12,5,2082,49.68,5.13,1705,A,26.12,2026-06-29T10:17:34.699Z
5_2091_26.12,5,2091,50.2,3.82,1269,A,26.12,2026-06-29T10:17:34.699Z
